pitcher_id,pitcher_name,team,era,whip,k9,fip,bb9,k_bb_pct,hr9,ip,is_left,wins,losses,k,walks,home_runs,batters_faced,games_started,games_pitched,saves,holds
645261,Sandy Alcantara,,3.06,1.05,5.86,4.3887,3.06,0.0786,1.02,35.333333333333336,0,2,2,23.0,12.0,4.0,140.0,5,5,0,0
669923,George Kirby,,2.97,1.05,7.29,3.86,2.16,0.1473,1.08,33.333333333333336,0,3,2,27.0,8.0,4.0,129.0,5,5,0,0
608331,Max Fried,,2.97,0.81,6.21,2.93,2.16,0.1181,0.27,33.333333333333336,1,2,1,23.0,8.0,1.0,127.0,5,5,0,0
667755,José Soriano,,0.28,0.73,10.74,2.4041,3.58,0.2167,0.28,32.666666666666664,0,5,0,39.0,13.0,1.0,120.0,5,5,0,0
693433,Bryan Woo,,2.25,0.88,7.31,2.1375,1.69,0.1626,0.0,32.0,0,1,2,26.0,6.0,0.0,123.0,5,5,0,0
607625,Seth Lugo,,1.15,0.93,8.04,2.3702,2.87,0.1552,0.0,31.333333333333332,0,1,1,28.0,10.0,0.0,116.0,5,5,0,0
669373,Tarik Skubal,,2.08,0.96,9.79,2.0462,1.78,0.2288,0.3,30.333333333333332,1,3,2,33.0,6.0,1.0,118.0,5,5,0,0
657277,Logan Webb,,5.4,1.4,8.1,3.3667,3.3,0.1212,0.6,30.0,0,2,2,27.0,11.0,2.0,132.0,5,5,0,0
664285,Framber Valdez,,3.3,1.2,6.0,3.2,2.7,0.0866,0.3,30.0,1,2,1,20.0,9.0,1.0,127.0,5,5,0,0
693821,Bryce Elder,,1.5,0.97,8.7,3.0333,2.7,0.1695,0.6,30.0,0,3,1,29.0,9.0,2.0,118.0,5,5,0,0
668909,Gavin Williams,,2.12,1.01,12.13,3.9753,5.16,0.2,1.21,29.666666666666668,0,3,1,40.0,17.0,4.0,115.0,5,5,0,0
605488,Jeffrey Springs,,3.34,0.98,8.19,4.0427,2.73,0.1552,1.21,29.666666666666668,1,3,1,27.0,9.0,4.0,116.0,5,5,0,0
519242,Chris Sale,,2.79,1.0,9.0,4.1655,2.17,0.1913,1.55,29.0,1,4,1,29.0,7.0,5.0,115.0,5,5,0,0
656605,Mitch Keller,,2.79,1.1,5.9,3.269,2.79,0.087,0.31,29.0,0,2,1,19.0,9.0,1.0,115.0,5,5,0,0
695076,Rhett Lowder,,3.1,1.14,5.59,3.3379,2.79,0.0763,0.31,29.0,0,3,1,18.0,9.0,1.0,118.0,5,5,0,0
669302,Logan Gilbert,,4.03,1.17,9.93,2.8552,1.55,0.2348,0.93,29.0,0,1,3,32.0,5.0,3.0,115.0,5,5,0,0
676106,Emerson Hancock,,2.83,0.87,8.79,3.9326,1.26,0.2286,1.57,28.666666666666668,0,2,1,28.0,4.0,5.0,105.0,5,5,0,0
669432,Trevor Rogers,,4.08,1.33,7.85,3.6535,2.51,0.1393,0.94,28.666666666666668,1,2,2,25.0,8.0,3.0,122.0,5,5,0,0
672282,Reid Detmers,,4.08,1.08,9.73,2.7814,2.51,0.1917,0.63,28.666666666666668,1,1,2,31.0,8.0,2.0,120.0,5,5,0,0
592662,Robbie Ray,,2.86,1.09,9.85,4.4706,3.49,0.1754,1.59,28.333333333333332,1,2,3,31.0,11.0,5.0,114.0,5,5,0,0
650911,Cristopher Sánchez,,1.59,1.41,12.39,1.7529,2.54,0.252,0.32,28.333333333333332,1,2,2,39.0,8.0,1.0,123.0,5,5,0,0
677960,Ryan Weathers,,3.18,1.24,11.44,3.3412,2.54,0.2414,1.27,28.333333333333332,1,1,2,36.0,8.0,4.0,116.0,5,5,0,0
592332,Kevin Gausman,,2.54,0.95,11.12,2.2824,1.91,0.2566,0.64,28.333333333333332,0,1,1,35.0,6.0,2.0,113.0,5,5,0,0
671737,Taj Bradley,,1.63,1.23,11.06,1.8265,3.25,0.2034,0.0,27.666666666666668,0,3,0,34.0,10.0,0.0,118.0,5,5,0,0
693645,Cam Schlittler,,1.95,0.76,11.71,0.9229,0.98,0.3143,0.0,27.666666666666668,0,2,1,36.0,3.0,0.0,105.0,5,5,0,0
650633,Michael King,,2.28,1.12,8.46,3.3084,4.55,0.1071,0.33,27.666666666666668,0,3,1,26.0,14.0,1.0,112.0,5,5,0,0
700241,Michael McGreevy,,3.29,0.91,4.94,4.5537,1.65,0.0952,1.32,27.333333333333332,0,1,2,15.0,5.0,4.0,105.0,5,5,0,0
657746,Joe Ryan,,3.29,0.88,9.22,2.2854,1.98,0.2056,0.33,27.333333333333332,0,2,2,28.0,6.0,1.0,107.0,5,5,0,0
608379,Michael Wacha,,1.0,0.78,7.67,3.3481,2.67,0.1531,0.67,27.0,0,2,0,23.0,8.0,2.0,98.0,4,4,0,0
669461,Matthew Liberatore,,3.67,1.41,5.33,5.5333,3.33,0.0513,1.67,27.0,1,0,1,16.0,10.0,5.0,117.0,5,5,0,0
543135,Nathan Eovaldi,,5.06,1.54,9.79,4.3625,2.7,0.1721,1.69,26.666666666666668,0,2,3,29.0,8.0,5.0,122.0,5,5,0,0
694819,Jacob Misiorowski,,3.04,1.09,14.18,3.35,4.05,0.2703,1.35,26.666666666666668,0,1,2,42.0,12.0,4.0,111.0,5,5,0,0
681347,Mike Burrows,,6.75,1.69,8.44,4.775,3.04,0.1311,1.69,26.666666666666668,0,1,3,25.0,9.0,5.0,122.0,5,5,0,0
642547,Freddy Peralta,,4.05,1.09,9.45,4.175,3.38,0.1607,1.35,26.666666666666668,0,1,2,28.0,10.0,4.0,112.0,5,5,0,0
605400,Aaron Nola,,5.06,1.46,9.79,4.1,3.38,0.1652,1.35,26.666666666666668,0,1,2,29.0,10.0,4.0,115.0,5,5,0,0
656550,Grant Holmes,,3.42,1.1,7.18,4.3392,3.76,0.0935,1.03,26.333333333333332,0,1,1,21.0,11.0,3.0,107.0,5,5,0,0
669022,MacKenzie Gore,,4.15,1.19,12.12,4.3923,4.15,0.213,1.73,26.0,1,2,2,35.0,12.0,5.0,108.0,5,5,0,0
641927,Bailey Ober,,4.15,1.23,8.31,3.3923,3.12,0.1351,0.69,26.0,0,2,0,24.0,9.0,2.0,111.0,5,5,0,0
691587,Eury Pérez,,4.15,1.35,9.35,4.5077,4.15,0.1339,1.38,26.0,0,2,1,27.0,12.0,4.0,112.0,5,5,0,0
656302,Dylan Cease,,2.1,1.29,15.43,1.4078,4.91,0.2703,0.0,25.666666666666668,0,1,0,44.0,14.0,0.0,111.0,5,5,0,0
808967,Yoshinobu Yamamoto,,2.1,0.82,7.36,3.4338,1.05,0.1895,1.05,25.666666666666668,0,2,1,21.0,3.0,3.0,95.0,4,4,0,0
800048,Parker Messick,,1.05,0.78,8.77,2.5766,2.45,0.1935,0.35,25.666666666666668,1,3,0,25.0,7.0,1.0,93.0,4,4,0,0
668678,Zac Gallen,,3.51,1.48,4.91,3.9403,2.45,0.0636,0.7,25.666666666666668,0,1,1,14.0,7.0,2.0,110.0,5,5,0,0
701542,Will Warren,,2.49,1.11,11.01,3.0026,2.13,0.2381,1.07,25.333333333333332,0,2,0,31.0,6.0,3.0,105.0,5,5,0,0
676282,Joey Cantillo,,3.2,1.3,10.66,3.7921,4.26,0.1748,1.07,25.333333333333332,1,1,0,30.0,12.0,3.0,103.0,5,5,0,0
607192,Tyler Glasnow,,3.24,0.84,10.44,2.64,2.16,0.2421,0.72,25.0,0,2,0,29.0,6.0,2.0,95.0,4,4,0,0
663436,Davis Martin,,2.16,1.0,6.84,3.44,2.16,0.1383,0.72,25.0,0,3,1,19.0,6.0,2.0,94.0,4,4,0,0
680694,Kyle Bradish,,3.96,1.76,10.08,3.56,4.68,0.1304,0.72,25.0,0,1,2,28.0,13.0,2.0,115.0,5,5,0,0
676974,Max Meyer,,3.96,1.24,10.08,3.32,3.96,0.1532,0.72,25.0,0,1,0,28.0,11.0,2.0,111.0,5,5,0,0
622663,Luis Severino,,6.2,1.7,9.85,5.5514,7.3,0.0631,1.46,24.666666666666668,0,0,2,27.0,20.0,4.0,111.0,5,5,0,0
671096,Andrew Abbott,,5.84,1.74,5.47,4.3757,4.01,0.0351,0.73,24.666666666666668,1,0,2,15.0,11.0,2.0,114.0,5,5,0,0
677944,Slade Cecconi,,6.2,1.58,7.3,5.673,4.38,0.0696,1.82,24.666666666666668,0,0,3,20.0,12.0,5.0,115.0,5,5,0,0
676440,Tanner Bibee,,4.81,1.52,8.51,4.5562,3.33,0.1308,1.48,24.333333333333332,0,0,2,23.0,9.0,4.0,107.0,5,5,0,0
579328,Yusei Kikuchi,,5.63,1.63,10.13,3.95,4.13,0.1441,1.13,24.0,1,0,2,27.0,11.0,3.0,111.0,5,5,0,0
676979,Garrett Crochet,,7.88,1.63,11.25,4.5333,3.38,0.181,1.88,24.0,1,2,3,30.0,9.0,5.0,116.0,5,5,0,0
607067,Colin Rea,,3.0,1.04,7.5,3.2417,1.88,0.1546,0.75,24.0,0,3,0,20.0,5.0,2.0,97.0,2,5,1,0
680736,Justin Wrobleski,,1.88,0.88,3.38,3.075,1.88,0.0435,0.0,24.0,1,3,0,9.0,5.0,0.0,92.0,3,4,0,0
663623,Jake Irvin,,6.0,1.29,9.38,4.6583,4.13,0.1321,1.5,24.0,0,1,3,25.0,11.0,4.0,106.0,5,5,0,0
663903,Brady Singer,,5.32,1.65,6.08,4.3831,2.66,0.0818,1.14,23.666666666666668,0,1,1,16.0,7.0,3.0,110.0,5,5,0,0
690997,Nolan McLean,,2.28,0.76,10.65,2.3972,3.04,0.2247,0.38,23.666666666666668,0,1,1,28.0,8.0,1.0,89.0,4,4,0,0
605540,Brandon Woodruff,,3.42,0.93,7.61,3.6648,1.52,0.1702,1.14,23.666666666666668,0,2,0,20.0,4.0,3.0,94.0,4,4,0,0
656427,Jack Flaherty,,3.47,1.59,9.26,4.2714,7.71,0.037,0.39,23.333333333333332,0,0,1,24.0,20.0,1.0,108.0,5,5,0,0
656849,David Peterson,,5.4,1.67,8.49,3.1571,3.86,0.1091,0.39,23.333333333333332,1,0,3,22.0,10.0,1.0,110.0,4,5,0,0
686799,Jack Kochanowicz,,3.47,1.24,6.94,4.1429,5.79,0.0303,0.39,23.333333333333332,0,2,0,18.0,15.0,1.0,99.0,4,4,0,0
593958,Eduardo Rodriguez,,1.96,1.22,5.48,4.287,3.52,0.0521,0.78,23.0,1,1,0,14.0,9.0,2.0,96.0,4,4,0,0
605280,Clay Holmes,,1.96,1.09,6.26,4.113,3.52,0.0753,0.78,23.0,0,2,2,16.0,9.0,2.0,93.0,4,4,0,0
694297,Brandon Pfaadt,,4.7,1.26,5.48,4.7217,3.13,0.0619,1.17,23.0,0,0,1,14.0,8.0,3.0,97.0,3,4,0,0
543243,Sonny Gray,,4.3,1.3,5.09,4.4174,1.96,0.0808,1.17,23.0,0,2,1,13.0,5.0,3.0,99.0,5,5,0,0
663460,Kris Bubic,,3.97,1.06,10.32,3.3765,3.97,0.1798,0.79,22.666666666666668,1,2,1,26.0,10.0,2.0,89.0,4,4,0,0
592791,Jameson Taillon,,3.97,1.28,8.34,5.9794,3.57,0.1263,2.38,22.666666666666668,0,1,1,21.0,9.0,6.0,95.0,4,4,0,0
666200,Jesús Luzardo,,7.94,1.46,11.91,2.9353,1.99,0.2551,1.19,22.666666666666668,1,1,3,30.0,5.0,3.0,98.0,4,4,0,0
677952,Braxton Ashcraft,,2.38,1.06,10.72,1.7441,2.78,0.2198,0.0,22.666666666666668,0,1,1,27.0,7.0,0.0,91.0,4,4,0,0
647336,Michael Soroka,,2.78,1.06,11.12,2.6706,2.38,0.2366,0.79,22.666666666666668,0,4,0,28.0,6.0,2.0,93.0,4,4,0,0
665795,Edward Cabrera,,2.38,1.28,6.75,3.1559,4.37,0.0659,0.0,22.666666666666668,0,2,0,17.0,11.0,0.0,91.0,4,4,0,0
694738,Landen Roupp,,2.38,0.97,9.53,2.0088,2.78,0.1889,0.0,22.666666666666668,0,3,1,24.0,7.0,0.0,90.0,4,4,0,0
663554,Casey Mize,,2.78,1.19,9.93,3.0676,2.78,0.1915,0.79,22.666666666666668,0,1,1,25.0,7.0,2.0,94.0,4,4,0,0
695505,Chase Burns,,2.42,1.07,8.87,4.1851,3.63,0.1477,1.21,22.333333333333332,0,1,1,22.0,9.0,3.0,88.0,4,4,0,0
624133,Ranger Suarez,,3.22,1.07,6.04,3.8269,2.42,0.1047,0.81,22.333333333333332,1,1,1,15.0,6.0,2.0,86.0,4,4,0,0
676083,Janson Junk,,4.5,1.32,6.14,3.8364,2.45,0.0968,0.82,22.0,0,0,2,15.0,6.0,2.0,93.0,4,4,0,0
684007,Shota Imanaga,,2.45,0.77,12.68,2.2455,2.05,0.3171,0.82,22.0,1,1,1,31.0,5.0,2.0,82.0,4,4,0,0
607259,Nick Martinez,,2.45,1.23,5.73,4.6545,2.86,0.0761,1.23,22.0,0,0,1,14.0,7.0,3.0,92.0,4,4,0,0
669358,Shane Baz,,4.91,1.55,7.77,3.7455,3.27,0.1134,0.82,22.0,0,0,2,19.0,8.0,2.0,97.0,4,4,0,0
694973,Paul Skenes,,3.27,0.91,9.41,3.2455,2.86,0.1818,0.82,22.0,0,3,1,23.0,7.0,2.0,88.0,5,5,0,0
605288,Adrian Houser,,5.4,1.57,4.57,4.3538,2.91,0.0396,0.83,21.666666666666668,0,0,2,11.0,7.0,2.0,101.0,4,4,0,0
669372,J.T. Ginn,,3.74,1.06,7.06,5.1385,3.32,0.1047,1.66,21.666666666666668,0,0,0,17.0,8.0,4.0,86.0,3,6,0,0
681190,Randy Vásquez,,2.49,1.29,10.38,2.6,3.32,0.1889,0.42,21.666666666666668,0,1,0,25.0,8.0,1.0,90.0,4,4,0,0
547179,Michael Lorenzen,,7.48,2.12,6.65,4.9538,2.49,0.087,1.66,21.666666666666668,0,1,2,16.0,6.0,4.0,115.0,5,6,0,0
571927,Steven Matz,,3.8,1.03,8.86,3.2938,2.53,0.1765,0.84,21.333333333333332,1,3,0,21.0,6.0,2.0,85.0,4,4,0,0
666142,Cole Ragans,,6.0,1.67,9.43,7.3905,7.71,0.0435,2.57,21.0,1,0,4,22.0,18.0,6.0,92.0,5,5,0,0
680573,Simeon Woods Richardson,,6.1,1.6,4.79,5.6677,3.05,0.0435,1.74,20.666666666666668,0,0,3,11.0,7.0,4.0,92.0,4,4,0,0
656492,Foster Griffin,,3.05,1.26,8.27,4.2645,3.05,0.1379,1.31,20.666666666666668,1,2,0,19.0,7.0,3.0,87.0,4,4,0,0
625643,Reynaldo López,,2.18,1.11,8.27,4.4097,3.48,0.131,1.31,20.666666666666668,0,1,0,19.0,8.0,3.0,84.0,4,4,0,0
669194,Ryne Nelson,,6.97,1.45,8.71,5.0871,3.92,0.1146,1.74,20.666666666666668,0,1,2,20.0,9.0,4.0,96.0,5,5,0,0
608372,Tomoyuki Sugano,,3.92,1.16,6.53,5.6194,2.18,0.1163,2.18,20.666666666666668,0,1,1,15.0,5.0,5.0,86.0,4,4,0,0
607200,Erick Fedde,,3.92,1.11,6.53,4.6516,3.05,0.0952,1.31,20.666666666666668,0,0,3,15.0,7.0,3.0,84.0,3,4,0,0
682227,Brandon Williamson,,4.35,1.35,5.23,5.8129,5.66,-0.0111,1.31,20.666666666666668,1,2,1,12.0,13.0,3.0,90.0,4,4,0,0
621121,Lance McCullers Jr.,,6.2,1.33,9.3,3.741,3.98,0.1395,0.89,20.333333333333332,0,1,1,21.0,9.0,2.0,86.0,4,4,0,0
669387,Carmen Mlodzinski,,1.77,1.33,8.85,2.4131,3.54,0.1379,0.0,20.333333333333332,0,1,0,20.0,8.0,0.0,87.0,3,4,0,0
527048,Martín Pérez,,2.21,0.93,4.43,3.741,2.66,0.0506,0.44,20.333333333333332,1,1,1,10.0,6.0,1.0,79.0,3,4,0,0
650644,Aaron Civale,,3.54,1.33,7.08,3.7902,2.66,0.1124,0.89,20.333333333333332,0,2,1,16.0,6.0,2.0,89.0,4,4,0,0
690953,Mick Abel,,3.98,1.57,10.18,2.4131,4.43,0.1398,0.0,20.333333333333332,0,1,2,23.0,10.0,0.0,93.0,3,4,0,0
683004,Jack Leiter,,4.87,1.48,10.62,4.0852,3.98,0.1667,1.33,20.333333333333332,0,1,1,24.0,9.0,3.0,90.0,4,4,0,0
680732,Sean Burke,,4.43,1.28,7.52,3.6918,2.66,0.1264,0.89,20.333333333333332,0,0,2,17.0,6.0,2.0,87.0,3,4,0,0
686218,Emmet Sheehan,,5.85,1.4,8.1,5.2,3.6,0.1163,1.8,20.0,0,2,0,18.0,8.0,4.0,86.0,4,4,0,0
669467,Andre Pallante,,4.05,1.45,5.4,4.95,4.95,0.011,0.9,20.0,0,2,1,12.0,11.0,2.0,91.0,4,4,0,0
702070,Noah Cameron,,5.4,1.45,7.65,5.65,2.7,0.1236,2.25,20.0,1,1,1,17.0,6.0,5.0,89.0,4,4,0,0
696149,Bubba Chandler,,3.15,1.3,7.65,4.75,5.85,0.0471,0.9,20.0,0,1,1,17.0,13.0,2.0,85.0,4,4,0,0
571945,Miles Mikolas,,9.15,1.98,6.86,7.1661,4.58,0.051,2.75,19.666666666666668,0,0,3,15.0,10.0,6.0,98.0,3,5,0,0
813349,Connelly Early,,2.29,1.27,9.15,3.3525,4.58,0.119,0.46,19.666666666666668,1,1,0,20.0,10.0,1.0,84.0,4,4,0,0
594798,Jacob deGrom,,2.29,1.07,11.44,3.5559,2.75,0.2436,1.37,19.666666666666668,0,1,0,25.0,6.0,3.0,78.0,4,4,0,0
656876,Drew Rasmussen,,2.75,0.66,9.15,4.2678,1.37,0.2297,1.83,19.666666666666668,0,1,0,20.0,3.0,4.0,74.0,4,4,0,0
676917,Cade Cavalli,,4.12,1.73,8.24,3.2,5.49,0.0645,0.0,19.666666666666668,0,0,1,18.0,12.0,0.0,93.0,5,5,0,0
669160,Dustin May,,6.98,1.6,6.98,3.6138,1.86,0.131,0.93,19.333333333333332,0,2,2,15.0,4.0,2.0,84.0,4,4,0,0
663978,Chris Paddack,,5.59,1.45,8.38,4.8034,2.33,0.1494,1.86,19.333333333333332,0,0,3,18.0,5.0,4.0,87.0,3,4,0,0
801403,Chase Dollander,,3.32,1.11,10.89,3.7789,2.84,0.2125,1.42,19.0,0,2,1,23.0,6.0,3.0,80.0,0,5,0,0
681517,Kyle Leahy,,5.21,1.53,6.16,5.8316,3.79,0.0581,1.89,19.0,0,2,2,13.0,8.0,4.0,86.0,4,4,0,0
641793,Zack Littell,,7.11,1.74,6.63,7.4632,2.84,0.0899,3.32,19.0,0,0,2,14.0,6.0,7.0,89.0,3,4,0,0
694477,Chad Patrick,,0.95,1.16,4.26,4.0421,3.32,0.0267,0.47,19.0,0,1,0,9.0,7.0,1.0,75.0,3,4,0,0
641816,Tyler Mahle,,7.23,1.93,10.13,7.0571,5.79,0.1023,2.89,18.666666666666668,0,0,3,21.0,12.0,6.0,88.0,4,4,0,0
678394,Brayan Bello,,6.75,1.93,6.27,5.825,5.79,0.0109,1.45,18.666666666666668,0,1,2,13.0,12.0,3.0,92.0,4,4,0,0
592836,Taijuan Walker,,9.16,2.04,7.71,7.2714,4.82,0.0638,2.89,18.666666666666668,0,1,3,16.0,10.0,6.0,94.0,4,4,0,0
608566,Germán Márquez,,3.86,1.39,7.23,6.0393,2.89,0.1139,2.41,18.666666666666668,0,2,1,15.0,6.0,5.0,79.0,4,4,0,0
695418,Brad Lord,,4.42,1.15,6.38,4.5636,1.96,0.1154,1.47,18.333333333333332,0,1,0,13.0,4.0,3.0,78.0,0,8,0,2
622491,Luis Castillo,,5.4,1.8,8.35,3.2,3.44,0.1136,0.49,18.333333333333332,0,0,1,17.0,7.0,1.0,88.0,4,4,0,0
691725,Andrew Painter,,4.42,1.36,9.82,2.3818,1.96,0.2,0.49,18.333333333333332,0,1,1,20.0,4.0,1.0,80.0,3,4,0,0
682052,Jacob Lopez,,6.38,1.96,7.85,6.3636,8.35,-0.0111,1.47,18.333333333333332,1,1,1,16.0,17.0,3.0,90.0,4,4,0,0
663556,Shane McClanahan,,5.0,1.33,9.0,3.7556,5.5,0.0875,0.5,18.0,1,1,2,18.0,11.0,1.0,80.0,4,4,0,0
660271,Shohei Ohtani,,0.5,0.72,9.0,2.2,3.0,0.1739,0.0,18.0,0,2,0,18.0,6.0,0.0,69.0,3,3,0,0
663372,Ryan Feltner,,6.0,1.5,7.0,6.4222,3.5,0.0886,2.5,18.0,0,1,1,14.0,7.0,5.0,79.0,4,4,0,0
641778,Eric Lauer,,7.13,1.47,8.15,6.0302,5.09,0.0759,2.04,17.666666666666668,1,1,3,16.0,10.0,4.0,79.0,3,4,0,0
808963,Roki Sasaki,,6.11,1.87,8.66,6.2566,6.11,0.0588,2.04,17.666666666666668,0,0,2,17.0,12.0,4.0,85.0,4,4,0,0
621111,Walker Buehler,,4.58,1.25,9.17,2.917,3.06,0.1644,0.51,17.666666666666668,0,1,1,18.0,6.0,1.0,73.0,4,4,0,0
673540,Kodai Senga,,8.83,1.9,11.42,5.3923,5.19,0.1463,2.08,17.333333333333332,0,0,3,22.0,10.0,4.0,82.0,4,4,0,0
641743,Anthony Kay,,2.6,1.27,6.23,4.8731,4.67,0.0385,1.04,17.333333333333332,1,1,0,12.0,9.0,2.0,78.0,2,4,0,0
687075,Brandon Sproat,,6.88,1.71,8.47,6.3176,5.82,0.0676,2.12,17.0,0,0,1,16.0,11.0,4.0,74.0,2,4,0,0
676962,Ben Brown,,2.7,1.08,8.1,3.26,3.24,0.1343,0.54,16.666666666666668,0,0,0,15.0,6.0,1.0,67.0,0,7,0,1
672456,Keider Montero,,3.31,0.86,8.27,1.7306,1.1,0.2063,0.0,16.333333333333332,0,1,1,15.0,2.0,0.0,63.0,3,3,0,0
453286,Max Scherzer,,7.16,1.29,5.51,6.0776,2.76,0.0735,2.2,16.333333333333332,0,1,2,10.0,5.0,4.0,68.0,4,4,0,0
605135,Chris Bassitt,,6.19,2.13,3.94,5.2,6.19,-0.0482,0.56,16.0,0,0,2,7.0,11.0,1.0,83.0,4,4,0,0
601713,Nick Pivetta,,4.5,1.13,13.5,1.325,3.38,0.2727,0.0,16.0,0,1,2,24.0,6.0,0.0,66.0,4,4,0,0
640455,Sean Manaea,,4.5,1.44,6.75,4.6375,3.94,0.0714,1.13,16.0,1,0,0,12.0,7.0,2.0,70.0,0,5,0,0
608718,Brent Suter,,2.25,1.25,8.44,4.2625,3.94,0.129,1.13,16.0,1,0,1,15.0,7.0,2.0,62.0,1,8,0,0
670990,Yohan Ramírez,,2.3,1.21,9.19,3.7106,5.17,0.1077,0.57,15.666666666666666,0,2,1,16.0,9.0,1.0,65.0,0,10,0,1
665871,Javier Assad,,5.74,1.21,5.17,5.3064,2.3,0.0769,1.72,15.666666666666666,0,1,1,9.0,4.0,3.0,65.0,3,3,0,0
671212,Joe Boyle,,5.17,1.09,9.19,3.1362,3.45,0.1515,0.57,15.666666666666666,0,0,1,16.0,6.0,1.0,66.0,3,3,0,0
607536,Kyle Freeland,,2.3,1.09,7.47,3.1362,2.3,0.1343,0.57,15.666666666666666,1,1,1,13.0,4.0,1.0,67.0,3,3,0,0
669947,Jesse Scholtens,,2.93,0.98,7.63,2.9391,1.76,0.1613,0.59,15.333333333333334,0,1,1,13.0,3.0,1.0,62.0,1,3,0,0
805123,AJ Blubaugh,,6.6,1.6,7.8,5.8667,5.4,0.058,1.8,15.0,0,2,2,13.0,9.0,3.0,69.0,0,10,0,1
668964,Tobias Myers,,3.0,0.8,6.6,3.8667,1.2,0.1636,1.2,15.0,0,0,1,11.0,2.0,2.0,55.0,1,7,0,2
690986,Kyle Harrison,,3.07,1.09,9.2,3.7455,2.45,0.1833,1.23,14.666666666666666,1,1,1,15.0,4.0,2.0,60.0,3,3,0,0
641312,Shaun Anderson,,5.52,1.3,5.52,5.8591,3.68,0.0492,1.84,14.666666666666666,0,1,0,9.0,6.0,3.0,61.0,0,7,0,0
677958,Kumar Rocker,,4.3,1.5,8.59,4.4955,4.3,0.1045,1.23,14.666666666666666,0,0,1,14.0,7.0,2.0,67.0,3,3,0,0
680802,Ryan Weiss,,6.75,2.05,11.05,6.3364,6.14,0.1111,2.45,14.666666666666666,0,0,2,18.0,10.0,4.0,72.0,1,6,0,0
622608,Antonio Senzatela,,0.63,0.7,10.67,1.4558,1.88,0.2692,0.0,14.333333333333334,0,1,0,17.0,3.0,0.0,52.0,0,6,1,1
663687,Hogan Harris,,2.51,1.4,8.16,4.8047,7.53,0.0156,0.63,14.333333333333334,1,2,0,13.0,12.0,1.0,64.0,0,13,1,4
676879,Aaron Ashby,,3.21,1.36,14.14,2.2714,3.86,0.2712,0.64,14.0,1,5,0,22.0,6.0,1.0,59.0,1,11,0,0
683175,Connor Phillips,,1.93,1.5,9.0,5.1286,9.0,0.0,0.64,14.0,0,1,0,14.0,14.0,1.0,63.0,0,13,1,2
656794,Sean Newcomb,,4.61,1.46,8.56,2.3951,3.29,0.1311,0.0,13.666666666666666,1,0,0,13.0,5.0,0.0,61.0,0,10,0,1
676755,Isaac Mattson,,1.32,1.32,6.59,3.0537,3.95,0.0702,0.0,13.666666666666666,0,0,0,10.0,6.0,0.0,57.0,0,13,0,5
678906,Kai-Wei Teng,,1.98,0.88,9.22,4.1512,3.29,0.1698,1.32,13.666666666666666,0,1,0,14.0,5.0,2.0,53.0,0,9,0,1
672782,Yoendrys Gómez,,6.75,1.73,6.75,8.375,5.4,0.0317,3.37,13.333333333333334,0,0,0,10.0,8.0,5.0,63.0,0,7,1,0
